model,accuracy,precision,recall,f1,cv_f1_mean,cv_f1_std,confusion_matrix_file,num_features,top_n_requested,feature_source
Logistic Regression,0.8300653594771242,0.8286237571951858,0.8300653594771242,0.8291909385113269,0.7269190580140241,0.03159444043104815,lr_top_features_confusion_matrix.png,30,30,random_forest_feature_importance.csv
XGBoost,0.8300653594771242,0.829059829059829,0.8300653594771242,0.8234567901234568,0.7627369202681653,0.03470834723294568,xgboost_top_features_confusion_matrix.png,30,30,random_forest_feature_importance.csv
